File,Class,IOU Threshold,GT Dist,Pred Dist,Pred-gt,Absolute Relative Error,GT Box 1,GT Box 2,GT Box 3,GT Box 4,Pred Box 1,Pred Box 2,Pred Box 3,Pred Box 4
002617.png,Pedestrian,0.5,8,9.882,1.882,0.235,305,149,381,310,310,130,357,334
007073.png,Pedestrian,0.5,7,9.795,2.795,0.399,707,141,789,326,727,117,773,344
001300.png,Pedestrian,0.5,7,8.558,1.558,0.223,342,137,407,331,347,114,395,339
002529.png,Pedestrian,0.5,7,11.374,4.374,0.625,472,161,530,331,473,140,523,334
004869.png,Pedestrian,0.5,7,10.313,3.313,0.473,635,144,705,323,644,133,699,337
006458.png,Pedestrian,0.5,8,10.693,2.693,0.337,453,159,506,311,452,136,497,321
003649.png,Pedestrian,0.5,8,12.163,4.163,0.520,569,149,621,310,575,132,611,325
003421.png,Pedestrian,0.5,7,12.094,5.094,0.728,485,157,553,333,498,142,551,337
000841.png,Pedestrian,0.5,8,10.600,2.600,0.325,675,155,730,309,680,128,727,325
007269.png,Pedestrian,0.5,5,7.760,2.760,0.552,415,153,487,369,408,130,482,370
004674.png,Pedestrian,0.5,8,13.314,5.314,0.664,481,157,531,303,483,134,522,314
005744.png,Pedestrian,0.5,7,10.681,3.681,0.526,777,142,829,322,770,131,822,342
002725.png,Pedestrian,0.5,9,11.301,2.301,0.256,778,154,838,300,774,135,820,323
003476.png,Pedestrian,0.5,9,11.866,2.866,0.318,471,157,546,299,482,133,526,319
005301.png,Pedestrian,0.5,7,9.582,2.582,0.369,378,158,438,331,376,133,428,329
006299.png,Pedestrian,0.5,8,8.922,0.922,0.115,366,134,440,300,374,106,421,338
003838.png,Pedestrian,0.5,8,10.227,2.227,0.278,647,155,722,298,655,126,704,323
005804.png,Pedestrian,0.5,5,6.920,1.920,0.384,827,137,917,369,823,107,906,367
003464.png,Pedestrian,0.5,9,11.640,2.640,0.293,540,145,596,282,547,126,580,293
007436.png,Pedestrian,0.5,8,6.033,-1.967,0.246,124,149,203,307,130,97,209,364
001348.png,Pedestrian,0.5,6,7.033,1.033,0.172,416,145,507,352,414,114,495,354
001124.png,Pedestrian,0.5,7,7.503,0.503,0.072,243,146,341,333,241,120,328,355
006444.png,Pedestrian,0.5,8,11.728,3.728,0.466,782,143,841,298,784,130,826,318
006453.png,Pedestrian,0.5,19,21.934,2.934,0.154,488,165,516,233,491,156,507,233
007023.png,Pedestrian,0.5,7,7.552,0.552,0.079,455,147,550,328,455,117,544,355
004786.png,Pedestrian,0.5,7,11.870,4.870,0.696,355,154,425,335,371,150,419,323
006804.png,Pedestrian,0.5,8,8.145,0.145,0.018,437,158,510,309,439,135,491,328
001467.png,Pedestrian,0.5,6,10.455,4.455,0.742,247,165,328,374,249,143,299,375
002952.png,Pedestrian,0.5,8,11.434,3.434,0.429,767,156,834,298,776,138,816,318
003464.png,Pedestrian,0.5,5,8.250,3.250,0.650,825,147,887,369,817,117,896,361
004963.png,Pedestrian,0.5,8,10.824,2.824,0.353,813,148,875,315,811,137,849,322
005439.png,Pedestrian,0.5,7,8.042,1.042,0.149,824,143,918,332,823,117,905,352
006337.png,Pedestrian,0.5,8,8.297,0.297,0.037,227,151,286,313,232,114,276,342
001422.png,Pedestrian,0.5,7,9.110,2.110,0.301,435,132,505,322,451,127,499,317
003464.png,Pedestrian,0.5,5,8.864,3.864,0.773,922,160,1012,369,922,121,999,370
002487.png,Pedestrian,0.5,8,11.150,3.150,0.394,886,151,966,318,905,155,953,308
002487.png,Pedestrian,0.5,27,23.853,-3.147,0.117,258,154,277,204,261,140,276,212
