latency,accuracy,system,diameter
0.001,0.5,F1,2.25853794401106
0.001,0.5,CC,4.227256340965065
0.001,0.51,F1,2.2539866555830024
0.001,0.51,CC,4.215012245331084
0.001,0.52,F1,2.2496848232264526
0.001,0.52,CC,4.203015505164461
0.001,0.53,F1,2.2456154121359795
0.001,0.53,CC,4.191266120465202
0.001,0.54,F1,2.24176126554557
0.001,0.54,CC,4.179764091233275
0.001,0.55,F1,2.238105108519079
0.001,0.55,CC,4.1685094174687105
0.001,0.56,F1,2.2346295519480144
0.001,0.56,CC,4.157502099171498
0.001,0.5700000000000001,F1,2.2313170967632807
0.001,0.5700000000000001,CC,4.146742136341637
0.001,0.5800000000000001,F1,2.2281958241380195
0.001,0.5800000000000001,CC,4.1362295289791415
0.001,0.5900000000000001,F1,2.225222776542566
0.001,0.5900000000000001,CC,4.125964277083993
0.001,0.6000000000000001,F1,2.222370293738507
0.001,0.6000000000000001,CC,4.115946380656191
0.001,0.6100000000000001,F1,2.219697287227465
0.001,0.6100000000000001,CC,4.106175839695738
0.001,0.6200000000000001,F1,2.217124304009854
0.001,0.6200000000000001,CC,4.0966526542026305
0.001,0.6300000000000001,F1,2.2146928183765944
0.001,0.6300000000000001,CC,4.087376824176903
0.001,0.6400000000000001,F1,2.212364557818116
0.001,0.6400000000000001,CC,4.078348349618507
0.001,0.6500000000000001,F1,2.21016193057136
0.001,0.6500000000000001,CC,4.069567230527491
0.001,0.6600000000000001,F1,2.2080438447213773
0.001,0.6600000000000001,CC,4.061033466903806
0.001,0.6700000000000002,F1,2.2060575947662286
0.001,0.6700000000000002,CC,4.052747058747483
0.001,0.6800000000000002,F1,2.204130635854515
0.001,0.6800000000000002,CC,4.044708006058501
0.001,0.6900000000000002,F1,2.2023332330677725
0.001,0.6900000000000002,CC,4.036916308836881
0.001,0.7000000000000002,F1,2.2006076470159286
0.001,0.7000000000000002,CC,4.029371967082616
0.001,0.7100000000000002,F1,2.198942760983517
0.001,0.7100000000000002,CC,4.0220749807957015
0.001,0.7200000000000002,F1,2.197406500649709
0.001,0.7200000000000002,CC,4.0150253499761375
0.001,0.7300000000000002,F1,2.195924144187252
0.001,0.7300000000000002,CC,4.008223074623926
0.001,0.7400000000000002,F1,2.1944956915961633
0.001,0.7400000000000002,CC,4.001668154739073
0.001,0.7500000000000002,F1,2.1931743675655255
0.001,0.7500000000000002,CC,3.9953605903215754
0.001,0.7600000000000002,F1,2.191918147207474
0.001,0.7600000000000002,CC,3.9893003813714234
0.001,0.7700000000000002,F1,2.190713201149734
0.001,0.7700000000000002,CC,3.9834875278886184
0.001,0.7800000000000002,F1,2.1895595293923513
0.001,0.7800000000000002,CC,3.9779220298731754
0.001,0.7900000000000003,F1,2.1885024606349788
0.001,0.7900000000000003,CC,3.9726038873250866
0.001,0.8000000000000003,F1,2.187504329410771
0.001,0.8000000000000003,CC,3.967533100244344
0.001,0.8100000000000003,F1,2.1865548875145713
0.001,0.8100000000000003,CC,3.962709668630965
0.001,0.8200000000000003,F1,2.185654134946379
0.001,0.8200000000000003,CC,3.9581335924849297
0.001,0.8300000000000003,F1,2.184802071706198
0.001,0.8300000000000003,CC,3.9538048718062635
0.001,0.8400000000000003,F1,2.184022634020053
0.001,0.8400000000000003,CC,3.949723506594929
0.001,0.8500000000000003,F1,2.183307302275967
0.001,0.8500000000000003,CC,3.945889496850948
0.001,0.8600000000000003,F1,2.1826381209670025
0.001,0.8600000000000003,CC,3.9423028425743336
0.001,0.8700000000000003,F1,2.182015090093106
0.001,0.8700000000000003,CC,3.938963543765057
0.001,0.8800000000000003,F1,2.1814382096543277
0.001,0.8800000000000003,CC,3.935871600423157
0.001,0.8900000000000003,F1,2.1809074796506493
0.001,0.8900000000000003,CC,3.933027012548595
0.001,0.9000000000000004,F1,2.180422900082096
0.001,0.9000000000000004,CC,3.9304297801413837
0.001,0.9100000000000004,F1,2.1799844709486074
0.001,0.9100000000000004,CC,3.9280799032015334
0.001,0.9200000000000004,F1,2.179592192250251
0.001,0.9200000000000004,CC,3.9259773817290347
0.001,0.9300000000000004,F1,2.1792606521393054
0.001,0.9300000000000004,CC,3.9241222157238784
0.001,0.9400000000000004,F1,2.1789768677659147
0.001,0.9400000000000004,CC,3.9225144051860834
0.001,0.9500000000000004,F1,2.1787367425268833
0.001,0.9500000000000004,CC,3.921153950115646
0.001,0.9600000000000004,F1,2.1785402764222432
0.001,0.9600000000000004,CC,3.920040850512555
0.001,0.9700000000000004,F1,2.178387469451959
0.001,0.9700000000000004,CC,3.9191751063768203
0.001,0.9800000000000004,F1,2.1782783216160375
0.001,0.9800000000000004,CC,3.9185567177084417
0.001,0.9900000000000004,F1,2.178212832914486
0.001,0.9900000000000004,CC,3.918177813225671
0.002,0.5,F1,2.2587552593850333
0.002,0.5,CC,5.5479891793648335
0.002,0.51,F1,2.2542192403420565
0.002,0.51,CC,5.528248129022748
0.002,0.52,F1,2.24988628542021
0.002,0.52,CC,5.50890588777842
0.002,0.53,F1,2.2458259779077814
0.002,0.53,CC,5.489962455631947
0.002,0.54,F1,2.2419102233373245
0.002,0.54,CC,5.471417832583262
0.002,0.55,F1,2.2382956912840584
0.002,0.55,CC,5.4532720186324415
0.002,0.56,F1,2.2347605994956865
0.002,0.56,CC,5.435525013779403
0.002,0.5700000000000001,F1,2.2314895893573947
0.002,0.5700000000000001,CC,5.418176818024213
0.002,0.5800000000000001,F1,2.2283647211049953
0.002,0.5800000000000001,CC,5.401227431366829
0.002,0.5900000000000001,F1,2.225313379164433
0.002,0.5900000000000001,CC,5.384676853807287
0.002,0.6000000000000001,F1,2.2225233316140702
0.002,0.6000000000000001,CC,5.368525085345533
0.002,0.6100000000000001,F1,2.2198472873126143
0.002,0.6100000000000001,CC,5.35277212598163
0.002,0.6200000000000001,F1,2.21723899096817
0.002,0.6200000000000001,CC,5.337417975715539
0.002,0.6300000000000001,F1,2.2147653733633206
0.002,0.6300000000000001,CC,5.32246263454727
0.002,0.6400000000000001,F1,2.212498165280735
0.002,0.6400000000000001,CC,5.3079061024767995
0.002,0.6500000000000001,F1,2.210293072488092
0.002,0.6500000000000001,CC,5.29374837950416
0.002,0.6600000000000001,F1,2.208150094985381
0.002,0.6600000000000001,CC,5.279989465629351
0.002,0.6700000000000002,F1,2.2060735755944236
0.002,0.6700000000000002,CC,5.266629360852363
0.002,0.6800000000000002,F1,2.2042328130128332
0.002,0.6800000000000002,CC,5.253668065173196
0.002,0.6900000000000002,F1,2.2024486892799118
0.002,0.6900000000000002,CC,5.241105578591833
0.002,0.7000000000000002,F1,2.200721204395638
0.002,0.7000000000000002,CC,5.2289419011082945
0.002,0.7100000000000002,F1,2.19905035836004
0.002,0.7100000000000002,CC,5.2171770327225975
0.002,0.7200000000000002,F1,2.197436151173104
0.002,0.7200000000000002,CC,5.205810973434701
0.002,0.7300000000000002,F1,2.195943128331219
0.002,0.7300000000000002,CC,5.19484372324464
0.002,0.7400000000000002,F1,2.1945828929352906
0.002,0.7400000000000002,CC,5.184275282152376
0.002,0.7500000000000002,F1,2.1932739871769584
0.002,0.7500000000000002,CC,5.174105650157962
0.002,0.7600000000000002,F1,2.1920164110562013
0.002,0.7600000000000002,CC,5.1643348272613565
0.002,0.7700000000000002,F1,2.190810164573012
0.002,0.7700000000000002,CC,5.15496281346257
0.002,0.7800000000000002,F1,2.1896552477274156
0.002,0.7800000000000002,CC,5.145989608761603
0.002,0.7900000000000003,F1,2.1885516605194013
0.002,0.7900000000000003,CC,5.137415213158453
0.002,0.8000000000000003,F1,2.187499402948969
0.002,0.8000000000000003,CC,5.129239626653131
0.002,0.8100000000000003,F1,2.1865332773528294
0.002,0.8100000000000003,CC,5.121462849245631
0.002,0.8200000000000003,F1,2.1856785931532663
0.002,0.8200000000000003,CC,5.114084880935955
0.002,0.8300000000000003,F1,2.18487010809962
0.002,0.8300000000000003,CC,5.107105721724096
0.002,0.8400000000000003,F1,2.184107822191894
0.002,0.8400000000000003,CC,5.100525371610033
0.002,0.8500000000000003,F1,2.1833917354300993
0.002,0.8500000000000003,CC,5.094343830593843
0.002,0.8600000000000003,F1,2.182721847814225
0.002,0.8600000000000003,CC,5.088561098675413
0.002,0.8700000000000003,F1,2.182098159344264
0.002,0.8700000000000003,CC,5.083177175854852
0.002,0.8800000000000003,F1,2.1815206700202268
0.002,0.8800000000000003,CC,5.078192062132098
0.002,0.8900000000000003,F1,2.1809893798421136
0.002,0.8900000000000003,CC,5.073605757507158
0.002,0.9000000000000004,F1,2.180504288809928
0.002,0.9000000000000004,CC,5.069418261980047
0.002,0.9100000000000004,F1,2.18006539692367
