system,latency,accuracy,diameter
F1,0.001,0.51,1.0
F1,0.001,0.5700000000000001,1.0
F1,0.001,0.54,1.0
F1,0.001,0.56,1.0
F1,0.001,0.5,1.0
F1,0.001,0.52,1.0
F1,0.001,0.53,1.0
F1,0.001,0.55,1.0
F1,0.001,0.5800000000000001,1.0
F1,0.001,0.6200000000000001,1.0
F1,0.001,0.6100000000000001,1.0
F1,0.001,0.6300000000000001,1.0
F1,0.001,0.5900000000000001,1.0
F1,0.001,0.6400000000000001,1.0
F1,0.001,0.6500000000000001,1.0
F1,0.001,0.6000000000000001,1.0
F1,0.001,0.6600000000000001,1.0
F1,0.001,0.6800000000000002,1.0
F1,0.001,0.6700000000000002,1.0
F1,0.001,0.6900000000000002,1.0
F1,0.001,0.7100000000000002,1.0
F1,0.001,0.7200000000000002,1.0
F1,0.001,0.7300000000000002,1.0
F1,0.001,0.7000000000000002,1.0
F1,0.001,0.7500000000000002,1.0
F1,0.001,0.7700000000000002,1.0
F1,0.001,0.7900000000000003,1.0
F1,0.001,0.7400000000000002,1.0
F1,0.001,0.7600000000000002,1.0
F1,0.001,0.8000000000000003,1.0
F1,0.001,0.7800000000000002,1.0
F1,0.001,0.8100000000000003,1.0
F1,0.001,0.8600000000000003,1.0
F1,0.001,0.8500000000000003,1.0
F1,0.001,0.8200000000000003,1.0
F1,0.001,0.8800000000000003,1.0
F1,0.001,0.8300000000000003,1.0
F1,0.001,0.8700000000000003,1.0
F1,0.001,0.8400000000000003,1.0
F1,0.001,0.8900000000000003,1.0
F1,0.001,0.9100000000000004,1.0
F1,0.001,0.9200000000000004,1.0
F1,0.001,0.9000000000000004,1.0
F1,0.001,0.9300000000000004,1.0
F1,0.001,0.9400000000000004,1.0
F1,0.001,0.9600000000000004,1.0
F1,0.001,0.9700000000000004,1.0
F1,0.001,0.9500000000000004,1.0
F1,0.002,0.5,1.0
F1,0.002,0.51,1.0
F1,0.002,0.53,1.0
F1,0.002,0.52,1.0
F1,0.002,0.54,1.0
F1,0.002,0.55,1.0
F1,0.002,0.56,1.0
F1,0.002,0.5700000000000001,1.0
F1,0.002,0.5800000000000001,1.0
F1,0.002,0.5900000000000001,1.0
F1,0.002,0.6000000000000001,1.0
F1,0.002,0.6100000000000001,1.0
F1,0.002,0.6200000000000001,1.0
F1,0.002,0.6300000000000001,1.0
F1,0.002,0.6400000000000001,1.0
F1,0.002,0.6500000000000001,1.0
F1,0.002,0.6600000000000001,1.0
F1,0.002,0.6700000000000002,1.0
F1,0.001,0.9800000000000004,1.0
F1,0.002,0.6800000000000002,1.0
F1,0.001,0.9900000000000004,1.0
F1,0.002,0.6900000000000002,1.0
F1,0.002,0.7000000000000002,1.0
F1,0.002,0.7100000000000002,1.0
F1,0.002,0.7200000000000002,1.0
F1,0.002,0.7300000000000002,1.0
F1,0.002,0.7400000000000002,1.0
F1,0.002,0.7600000000000002,1.0
F1,0.002,0.7500000000000002,1.0
F1,0.002,0.7800000000000002,1.0
F1,0.002,0.7700000000000002,1.0
F1,0.002,0.7900000000000003,1.0
F1,0.002,0.8100000000000003,1.0
F1,0.002,0.8000000000000003,1.0
F1,0.002,0.8300000000000003,1.0
F1,0.002,0.8400000000000003,1.0
F1,0.002,0.8600000000000003,1.0
F1,0.002,0.8200000000000003,1.0
F1,0.002,0.8500000000000003,1.0
F1,0.002,0.8700000000000003,1.0
F1,0.002,0.8800000000000003,1.0
F1,0.002,0.8900000000000003,1.0
F1,0.002,0.9000000000000004,1.0
F1,0.002,0.9100000000000004,1.0
F1,0.002,0.9200000000000004,1.0
F1,0.002,0.9400000000000004,1.0
F1,0.002,0.9300000000000004,1.0
F1,0.002,0.9600000000000004,1.0
F1,0.002,0.9500000000000004,1.0
F1,0.003,0.5,1.0
F1,0.002,0.9700000000000004,1.0
F1,0.003,0.52,1.0
F1,0.003,0.51,1.0
F1,0.002,0.9800000000000004,1.0
F1,0.003,0.53,1.0
F1,0.003,0.54,1.0
F1,0.003,0.55,1.0
F1,0.003,0.56,1.0
F1,0.003,0.5700000000000001,1.0
F1,0.002,0.9900000000000004,1.0
F1,0.003,0.5800000000000001,1.0
F1,0.003,0.5900000000000001,1.0
F1,0.003,0.6000000000000001,1.0
F1,0.003,0.6100000000000001,1.0
F1,0.003,0.6200000000000001,1.0
F1,0.003,0.6400000000000001,1.0
F1,0.003,0.6300000000000001,1.0
F1,0.003,0.6500000000000001,1.0
F1,0.003,0.6700000000000002,1.0
F1,0.003,0.6900000000000002,1.0
F1,0.003,0.6800000000000002,1.0
F1,0.003,0.6600000000000001,1.0
F1,0.003,0.7000000000000002,1.0
F1,0.003,0.7100000000000002,1.0
F1,0.003,0.7200000000000002,1.0
F1,0.003,0.7300000000000002,1.0
F1,0.003,0.7400000000000002,1.0
F1,0.003,0.7700000000000002,1.0
F1,0.003,0.7600000000000002,1.0
F1,0.003,0.7500000000000002,1.0
F1,0.003,0.7800000000000002,1.0
F1,0.003,0.7900000000000003,1.0
F1,0.003,0.8000000000000003,1.0
F1,0.003,0.8100000000000003,1.0
F1,0.003,0.8300000000000003,1.0
F1,0.003,0.8600000000000003,1.0
F1,0.003,0.8500000000000003,1.0
F1,0.003,0.8700000000000003,1.0
F1,0.003,0.8800000000000003,1.0
F1,0.003,0.8900000000000003,1.0
F1,0.003,0.8200000000000003,1.0
F1,0.003,0.8400000000000003,1.0
F1,0.003,0.9000000000000004,1.0
F1,0.003,0.9100000000000004,1.0
F1,0.003,0.9200000000000004,1.0
F1,0.003,0.9300000000000004,1.0
F1,0.003,0.9400000000000004,1.0
F1,0.003,0.9500000000000004,1.0
F1,0.003,0.9700000000000004,1.0
F1,0.003,0.9600000000000004,1.0
F1,0.004,0.5,1.0
F1,0.004,0.51,1.0
F1,0.004,0.52,1.0
F1,0.003,0.9800000000000004,1.0
F1,0.004,0.53,1.0
F1,0.003,0.9900000000000004,1.0
F1,0.004,0.54,1.0
F1,0.004,0.55,1.0
F1,0.004,0.56,1.0
F1,0.004,0.5700000000000001,1.0
F1,0.004,0.5800000000000001,1.0
F1,0.004,0.5900000000000001,1.0
F1,0.004,0.6000000000000001,1.0
F1,0.004,0.6100000000000001,1.0
F1,0.004,0.6200000000000001,1.0
F1,0.004,0.6300000000000001,1.0
F1,0.004,0.6400000000000001,1.0
F1,0.004,0.6500000000000001,1.0
